,id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
386,19,20,female,medium,1,0,palmar left,Hand_0000488.jpg,0
387,19,20,female,medium,1,0,palmar left,Hand_0000490.jpg,0
388,19,20,female,medium,1,0,palmar left,Hand_0000491.jpg,0
389,19,20,female,medium,1,0,palmar left,Hand_0000492.jpg,0
390,19,20,female,medium,1,0,palmar left,Hand_0000493.jpg,0
397,13,20,female,medium,1,0,palmar left,Hand_0000500.jpg,0
398,13,20,female,medium,1,0,palmar left,Hand_0000501.jpg,0
399,13,20,female,medium,1,0,palmar left,Hand_0000502.jpg,0
400,13,20,female,medium,1,0,palmar left,Hand_0000503.jpg,0
401,13,20,female,medium,1,0,palmar left,Hand_0000504.jpg,0
402,13,20,female,medium,1,0,palmar left,Hand_0000505.jpg,0
409,13,20,female,medium,0,0,palmar right,Hand_0000513.jpg,0
410,13,20,female,medium,0,0,palmar right,Hand_0000514.jpg,0
411,13,20,female,medium,0,0,palmar right,Hand_0000515.jpg,0
412,13,20,female,medium,0,0,palmar right,Hand_0000516.jpg,0
413,13,20,female,medium,0,0,palmar right,Hand_0000517.jpg,0
425,11,20,female,medium,0,0,palmar left,Hand_0000530.jpg,0
426,11,20,female,medium,0,0,palmar left,Hand_0000532.jpg,0
427,11,20,female,medium,0,0,palmar left,Hand_0000538.jpg,0
428,11,20,female,medium,0,0,palmar left,Hand_0000539.jpg,0
429,11,20,female,medium,0,0,palmar left,Hand_0000540.jpg,0
430,11,20,female,medium,0,0,palmar left,Hand_0000541.jpg,0
431,11,20,female,medium,0,0,palmar left,Hand_0000542.jpg,0
432,11,20,female,medium,0,0,palmar left,Hand_0000543.jpg,0
440,11,20,female,medium,0,0,palmar right,Hand_0000552.jpg,0
441,11,20,female,medium,0,0,palmar right,Hand_0000553.jpg,0
442,11,20,female,medium,0,0,palmar right,Hand_0000554.jpg,0
443,11,20,female,medium,0,0,palmar right,Hand_0000555.jpg,0
444,11,20,female,medium,0,0,palmar right,Hand_0000556.jpg,0
451,63,21,female,medium,1,0,palmar right,Hand_0000565.jpg,0
452,63,21,female,medium,1,0,palmar right,Hand_0000566.jpg,0
453,63,21,female,medium,1,0,palmar right,Hand_0000567.jpg,0
454,63,21,female,medium,1,0,palmar right,Hand_0000568.jpg,0
455,63,21,female,medium,1,0,palmar right,Hand_0000569.jpg,0
456,63,21,female,medium,1,0,palmar right,Hand_0000570.jpg,0
467,63,21,female,medium,0,0,palmar left,Hand_0000582.jpg,0
468,63,21,female,medium,0,0,palmar left,Hand_0000583.jpg,0
469,63,21,female,medium,0,0,palmar left,Hand_0000584.jpg,0
470,63,21,female,medium,0,0,palmar left,Hand_0000585.jpg,0
480,1592,20,female,medium,0,0,palmar left,Hand_0000599.jpg,0
481,1592,20,female,medium,0,0,palmar left,Hand_0000600.jpg,0
482,1592,20,female,medium,0,0,palmar left,Hand_0000602.jpg,0
483,1592,20,female,medium,0,0,palmar left,Hand_0000603.jpg,0
484,1592,20,female,medium,0,0,palmar left,Hand_0000604.jpg,0
491,1592,20,female,medium,0,0,palmar right,Hand_0000611.jpg,0
492,1592,20,female,medium,0,0,palmar right,Hand_0000612.jpg,0
493,1592,20,female,medium,0,0,palmar right,Hand_0000614.jpg,0
494,1592,20,female,medium,0,0,palmar right,Hand_0000615.jpg,0
495,1592,20,female,medium,0,0,palmar right,Hand_0000617.jpg,0
496,1592,20,female,medium,0,0,palmar right,Hand_0000618.jpg,0
502,572,20,female,fair,0,0,palmar right,Hand_0000624.jpg,0
503,572,20,female,fair,0,0,palmar right,Hand_0000625.jpg,0
504,572,20,female,fair,0,0,palmar right,Hand_0000626.jpg,0
505,572,20,female,fair,0,0,palmar right,Hand_0000627.jpg,0
506,572,20,female,fair,0,0,palmar right,Hand_0000628.jpg,0
507,572,20,female,fair,0,0,palmar right,Hand_0000629.jpg,0
508,572,20,female,fair,0,0,palmar right,Hand_0000630.jpg,0
515,572,20,female,fair,0,0,palmar left,Hand_0000637.jpg,0
516,572,20,female,fair,0,0,palmar left,Hand_0000638.jpg,0
517,572,20,female,fair,0,0,palmar left,Hand_0000639.jpg,0
518,572,20,female,fair,0,0,palmar left,Hand_0000640.jpg,0
519,572,20,female,fair,0,0,palmar left,Hand_0000641.jpg,0
528,1593,20,female,medium,1,0,palmar left,Hand_0000651.jpg,0
529,1593,20,female,medium,1,0,palmar left,Hand_0000652.jpg,0
530,1593,20,female,medium,1,0,palmar left,Hand_0000653.jpg,0
531,1593,20,female,medium,1,0,palmar left,Hand_0000654.jpg,0
532,1593,20,female,medium,1,0,palmar left,Hand_0000655.jpg,0
533,1593,20,female,medium,1,0,palmar left,Hand_0000656.jpg,0
540,1593,20,female,medium,0,0,palmar right,Hand_0000663.jpg,0
541,1593,20,female,medium,0,0,palmar right,Hand_0000664.jpg,0
542,1593,20,female,medium,0,0,palmar right,Hand_0000665.jpg,0
543,1593,20,female,medium,0,0,palmar right,Hand_0000666.jpg,0
544,1593,20,female,medium,0,0,palmar right,Hand_0000667.jpg,0
545,1593,20,female,medium,0,0,palmar right,Hand_0000668.jpg,0
546,1593,20,female,medium,0,0,palmar right,Hand_0000669.jpg,0
559,4,21,female,medium,0,0,palmar right,Hand_0000684.jpg,0
560,4,21,female,medium,0,0,palmar right,Hand_0000685.jpg,0
561,4,21,female,medium,0,0,palmar right,Hand_0000686.jpg,0
562,4,21,female,medium,0,0,palmar right,Hand_0000687.jpg,0
563,4,21,female,medium,0,0,palmar right,Hand_0000688.jpg,0
564,4,21,female,medium,0,0,palmar right,Hand_0000689.jpg,0
574,4,21,female,medium,0,0,palmar left,Hand_0000703.jpg,0
575,4,21,female,medium,0,0,palmar left,Hand_0000704.jpg,0
576,4,21,female,medium,0,0,palmar left,Hand_0000705.jpg,0
577,4,21,female,medium,0,0,palmar left,Hand_0000706.jpg,0
578,4,21,female,medium,0,0,palmar left,Hand_0000707.jpg,0
579,4,21,female,medium,0,0,palmar left,Hand_0000708.jpg,0
590,1023,20,female,medium,0,0,palmar right,Hand_0000719.jpg,0
591,1023,20,female,medium,0,0,palmar right,Hand_0000720.jpg,0
592,1023,20,female,medium,0,0,palmar right,Hand_0000721.jpg,0
593,1023,20,female,medium,0,0,palmar right,Hand_0000722.jpg,0
594,1023,20,female,medium,0,0,palmar right,Hand_0000723.jpg,0
595,1023,20,female,medium,0,0,palmar right,Hand_0000724.jpg,0
596,1023,20,female,medium,0,0,palmar right,Hand_0000725.jpg,0
597,1023,20,female,medium,0,0,palmar right,Hand_0000726.jpg,0
605,1023,20,female,medium,0,0,palmar left,Hand_0000735.jpg,0
606,1023,20,female,medium,0,0,palmar left,Hand_0000736.jpg,0
607,1023,20,female,medium,0,0,palmar left,Hand_0000737.jpg,0
608,1023,20,female,medium,0,0,palmar left,Hand_0000738.jpg,0
609,1023,20,female,medium,0,0,palmar left,Hand_0000739.jpg,0
610,1023,20,female,medium,0,0,palmar left,Hand_0000740.jpg,0
611,1023,20,female,medium,0,0,palmar left,Hand_0000742.jpg,0
612,1023,20,female,medium,0,0,palmar left,Hand_0000743.jpg,0
613,1023,20,female,medium,0,0,palmar left,Hand_0000744.jpg,0
614,1023,20,female,medium,0,0,palmar left,Hand_0000745.jpg,0
615,1023,20,female,medium,0,0,palmar left,Hand_0000746.jpg,0
616,1023,20,female,medium,0,0,palmar left,Hand_0000748.jpg,0
617,1023,20,female,medium,0,0,palmar left,Hand_0000749.jpg,0
618,1023,20,female,medium,0,0,palmar left,Hand_0000750.jpg,0
619,1023,20,female,medium,0,0,palmar left,Hand_0000751.jpg,0
620,1023,20,female,medium,0,0,palmar left,Hand_0000752.jpg,0
621,45,21,female,medium,0,0,palmar left,Hand_0000753.jpg,0
622,45,21,female,medium,0,0,palmar left,Hand_0000754.jpg,0
623,45,21,female,medium,0,0,palmar left,Hand_0000755.jpg,0
624,45,21,female,medium,0,0,palmar left,Hand_0000756.jpg,0
625,45,21,female,medium,0,0,palmar left,Hand_0000757.jpg,0
634,45,21,female,medium,0,0,palmar right,Hand_0000766.jpg,0
635,45,21,female,medium,0,0,palmar right,Hand_0000767.jpg,0
636,45,21,female,medium,0,0,palmar right,Hand_0000768.jpg,0
637,45,21,female,medium,0,0,palmar right,Hand_0000769.jpg,0
638,45,21,female,medium,0,0,palmar right,Hand_0000770.jpg,0
639,45,21,female,medium,0,0,palmar right,Hand_0000771.jpg,0
667,61,21,female,medium,0,0,palmar left,Hand_0000815.jpg,0
668,61,21,female,medium,0,0,palmar left,Hand_0000816.jpg,0
669,61,21,female,medium,0,0,palmar left,Hand_0000817.jpg,0
670,61,21,female,medium,0,0,palmar left,Hand_0000818.jpg,0
671,61,21,female,medium,0,0,palmar left,Hand_0000819.jpg,0
672,61,21,female,medium,0,0,palmar left,Hand_0000820.jpg,0
673,61,21,female,medium,0,0,palmar left,Hand_0000821.jpg,0
674,61,21,female,medium,0,0,palmar left,Hand_0000822.jpg,0
682,61,21,female,medium,0,0,palmar right,Hand_0000830.jpg,0
683,61,21,female,medium,0,0,palmar right,Hand_0000831.jpg,0
684,61,21,female,medium,0,0,palmar right,Hand_0000832.jpg,0
685,61,21,female,medium,0,0,palmar right,Hand_0000833.jpg,0
686,61,21,female,medium,0,0,palmar right,Hand_0000834.jpg,0
687,61,21,female,medium,0,0,palmar right,Hand_0000835.jpg,0
688,61,21,female,medium,0,0,palmar right,Hand_0000836.jpg,0
689,61,21,female,medium,0,0,palmar right,Hand_0000837.jpg,0
696,62,22,female,medium,1,0,palmar right,Hand_0000846.jpg,0
697,62,22,female,medium,1,0,palmar right,Hand_0000847.jpg,0
698,62,22,female,medium,1,0,palmar right,Hand_0000849.jpg,0
699,62,22,female,medium,1,0,palmar right,Hand_0000850.jpg,0
700,62,22,female,medium,1,0,palmar right,Hand_0000851.jpg,0
701,62,22,female,medium,1,0,palmar right,Hand_0000852.jpg,0
709,62,22,female,medium,0,0,palmar left,Hand_0000863.jpg,0
710,62,22,female,medium,0,0,palmar left,Hand_0000864.jpg,0
711,62,22,female,medium,0,0,palmar left,Hand_0000865.jpg,0
712,62,22,female,medium,0,0,palmar left,Hand_0000866.jpg,0
713,62,22,female,medium,0,0,palmar left,Hand_0000867.jpg,0
714,62,22,female,medium,0,0,palmar left,Hand_0000868.jpg,0
715,62,22,female,medium,0,0,palmar left,Hand_0000869.jpg,0
723,57,26,male,dark,0,0,palmar left,Hand_0000883.jpg,0
724,57,26,male,dark,0,0,palmar left,Hand_0000884.jpg,0
725,57,26,male,dark,0,0,palmar left,Hand_0000885.jpg,0
726,57,26,male,dark,0,0,palmar left,Hand_0000886.jpg,0
727,57,26,male,dark,0,0,palmar left,Hand_0000887.jpg,0
728,57,26,male,dark,0,0,palmar left,Hand_0000888.jpg,0
729,57,26,male,dark,0,0,palmar left,Hand_0000889.jpg,0
730,57,26,male,dark,0,0,palmar left,Hand_0000890.jpg,0
731,57,26,male,dark,0,0,palmar left,Hand_0000891.jpg,0
732,57,26,male,dark,0,0,palmar left,Hand_0000892.jpg,0
733,57,26,male,dark,0,0,palmar left,Hand_0000893.jpg,0
745,57,26,male,dark,1,0,palmar right,Hand_0000906.jpg,0
746,57,26,male,dark,1,0,palmar right,Hand_0000907.jpg,0
747,57,26,male,dark,1,0,palmar right,Hand_0000908.jpg,0
748,57,26,male,dark,1,0,palmar right,Hand_0000909.jpg,0
749,57,26,male,dark,1,0,palmar right,Hand_0000910.jpg,0
750,57,26,male,dark,1,0,palmar right,Hand_0000911.jpg,0
751,57,26,male,dark,1,0,palmar right,Hand_0000912.jpg,0
759,57,26,male,dark,0,0,palmar right,Hand_0000920.jpg,0
760,57,26,male,dark,0,0,palmar right,Hand_0000921.jpg,0
761,57,26,male,dark,0,0,palmar right,Hand_0000922.jpg,0
762,57,26,male,dark,0,0,palmar right,Hand_0000923.jpg,0
763,57,26,male,dark,0,0,palmar right,Hand_0000924.jpg,0
764,57,26,male,dark,0,0,palmar right,Hand_0000925.jpg,0
765,57,26,male,dark,0,0,palmar right,Hand_0000926.jpg,0
766,57,26,male,dark,0,0,palmar right,Hand_0000927.jpg,0
773,529,22,female,fair,1,0,palmar right,Hand_0000934.jpg,0
774,529,22,female,fair,1,0,palmar right,Hand_0000935.jpg,0
775,529,22,female,fair,1,0,palmar right,Hand_0000936.jpg,0
776,529,22,female,fair,1,0,palmar right,Hand_0000937.jpg,0
777,529,22,female,fair,1,0,palmar right,Hand_0000938.jpg,0
790,529,22,female,fair,0,0,palmar left,Hand_0000960.jpg,0
791,529,22,female,fair,0,0,palmar left,Hand_0000961.jpg,0
792,529,22,female,fair,0,0,palmar left,Hand_0000962.jpg,0
793,529,22,female,fair,0,0,palmar left,Hand_0000963.jpg,0
794,529,22,female,fair,0,0,palmar left,Hand_0000964.jpg,0
795,529,22,female,fair,0,0,palmar left,Hand_0000965.jpg,0
796,529,22,female,fair,0,0,palmar left,Hand_0000966.jpg,0
802,27,23,male,fair,0,0,palmar left,Hand_0000976.jpg,0
803,27,23,male,fair,0,0,palmar left,Hand_0000977.jpg,0
804,27,23,male,fair,0,0,palmar left,Hand_0000978.jpg,0
805,27,23,male,fair,0,0,palmar left,Hand_0000979.jpg,0
806,27,23,male,fair,0,0,palmar left,Hand_0000980.jpg,0
807,27,23,male,fair,0,0,palmar left,Hand_0000981.jpg,0
808,27,23,male,fair,0,0,palmar left,Hand_0000982.jpg,0
809,27,23,male,fair,0,0,palmar left,Hand_0000983.jpg,0
810,27,23,male,fair,0,0,palmar left,Hand_0000984.jpg,0
811,27,23,male,fair,0,0,palmar left,Hand_0000985.jpg,0
812,27,23,male,fair,0,0,palmar left,Hand_0000986.jpg,0
813,27,23,male,fair,0,0,palmar left,Hand_0000987.jpg,0
814,27,23,male,fair,0,0,palmar left,Hand_0000988.jpg,0
842,28,30,male,dark,0,0,palmar right,Hand_0001018.jpg,0
843,28,30,male,dark,0,0,palmar right,Hand_0001019.jpg,0
844,28,30,male,dark,0,0,palmar right,Hand_0001020.jpg,0
845,28,30,male,dark,0,0,palmar right,Hand_0001021.jpg,0
846,28,30,male,dark,0,0,palmar right,Hand_0001022.jpg,0
847,28,30,male,dark,0,0,palmar right,Hand_0001023.jpg,0
848,28,30,male,dark,0,0,palmar right,Hand_0001024.jpg,0
853,28,30,male,dark,0,0,palmar left,Hand_0001036.jpg,0
854,28,30,male,dark,0,0,palmar left,Hand_0001037.jpg,0
855,28,30,male,dark,0,0,palmar left,Hand_0001038.jpg,0
856,28,30,male,dark,0,0,palmar left,Hand_0001039.jpg,0
857,28,30,male,dark,0,0,palmar left,Hand_0001040.jpg,0
858,28,30,male,dark,0,0,palmar left,Hand_0001041.jpg,0
859,28,30,male,dark,0,0,palmar left,Hand_0001042.jpg,0
860,28,30,male,dark,0,0,palmar left,Hand_0001043.jpg,0
874,53,29,male,fair,0,0,palmar right,Hand_0001063.jpg,0
875,53,29,male,fair,0,0,palmar right,Hand_0001064.jpg,0
876,53,29,male,fair,0,0,palmar right,Hand_0001065.jpg,0
877,53,29,male,fair,0,0,palmar right,Hand_0001066.jpg,0
878,53,29,male,fair,0,0,palmar right,Hand_0001067.jpg,0
879,53,29,male,fair,0,0,palmar right,Hand_0001068.jpg,0
880,53,29,male,fair,0,0,palmar right,Hand_0001069.jpg,0
890,53,29,male,fair,0,0,palmar left,Hand_0001080.jpg,0
891,53,29,male,fair,0,0,palmar left,Hand_0001081.jpg,0
892,53,29,male,fair,0,0,palmar left,Hand_0001082.jpg,0
893,53,29,male,fair,0,0,palmar left,Hand_0001083.jpg,0
894,53,29,male,fair,0,0,palmar left,Hand_0001084.jpg,0
895,53,29,male,fair,0,0,palmar left,Hand_0001085.jpg,0
